Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,PE_Ratio,ROE,Sector,RSI,MACD_Hist,EMA20,EMA50,EMA_Cross,Return_5d,Target
2025-07-01 00:00:00+05:30,2623.726886220827,2643.8180015388925,2601.836770512566,2620.62841796875,729197,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,58.83667029835508,16.85775534468318,2544.1874411303197,2537.980598960894,1,-0.011633305987445275,0
2025-07-02 00:00:00+05:30,2632.8227645032407,2644.8174012435743,2612.431979657277,2629.0244140625,621409,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,59.5925326122882,17.13584756156864,2552.2671528381466,2541.5509446511533,1,-0.01794533009474686,0
2025-07-03 00:00:00+05:30,2632.822818060909,2642.8183488811856,2603.9358316029147,2610.032958984375,502724,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,61.68816955871445,15.167831552055748,2557.7686581854064,2544.2365138406913,1,-0.011565571742529368,0
2025-07-04 00:00:00+05:30,2615.8303788664834,2615.8303788664834,2581.045883294972,2597.9384765625,370305,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,56.59249552734646,12.30074319788654,2561.594355173701,2546.3424731631153,1,-0.0155438939152851,0
2025-07-07 00:00:00+05:30,2600.8370570597776,2604.2354398445623,2570.85046531812,2574.94873046875,412159,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,61.364807372870025,8.2970850690281,2562.866200439896,2547.4642871751007,1,0.0020185853973502255,1
2025-07-08 00:00:00+05:30,2584.8441657759377,2598.837908359412,2571.8499762341407,2590.141845703125,357686,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,67.80711364660752,6.208755671890707,2565.4638809411563,2549.137916921298,1,0.0026627779739907265,1
2025-07-09 00:00:00+05:30,2597.8385530088563,2608.733584379624,2568.8515125943677,2581.845703125,396880,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,73.81232581077006,3.9172103270280942,2567.0240544824746,2550.420575203796,1,0.00987221093800228,1
2025-07-10 00:00:00+05:30,2589.841966099168,2602.8361558171496,2573.849117215499,2579.846435546875,306565,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,71.03425616610215,2.0113434938019896,2568.245233631465,2551.574530511368,1,0.013793157617957963,1
2025-07-11 00:00:00+05:30,2573.8491603640496,2590.7415096680093,2550.759386788568,2557.556396484375,390645,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,63.81010924709764,-0.8523727233380551,2567.227249141266,2551.8091134907013,1,0.01461689954257217,1
2025-07-14 00:00:00+05:30,2553.8581888498115,2603.635982393775,2542.363328117219,2580.146484375,536585,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,62.49587743171051,-1.3002420576775258,2568.4576524968593,2552.9203829371445,1,0.014798718429110513,1
2025-07-15 00:00:00+05:30,2586.8434255349,2605.734881532265,2574.8487883222188,2597.038818359375,379425,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,61.904754104000226,-0.571081146677777,2571.179668293289,2554.6505176595847,1,-0.0040027371167451475,0
2025-07-16 00:00:00+05:30,2601.3369099911497,2618.329312477163,2594.340038379262,2607.334228515625,686644,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,54.46893575696821,0.4378970417569743,2574.622959743035,2556.716545536292,1,0.0023001709514391955,1
2025-07-17 00:00:00+05:30,2610.832622321764,2653.313627853416,2604.135665550135,2615.4306640625,785771,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,42.481007273073544,1.4280354965310877,2578.50940777346,2559.0190599883003,1,-0.0031339133993303347,0
2025-07-18 00:00:00+05:30,2610.832738334036,2625.5261203292284,2583.0451129099342,2594.93994140625,479942,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,43.9037826161977,0.5268404438395393,2580.0742205003926,2560.4277220046906,1,-0.017718904184958806,0
2025-07-21 00:00:00+05:30,2595.139762587187,2623.7268348310395,2583.844763749791,2618.329345703125,369782,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,49.457777839195465,1.2865627379343945,2583.717565757796,2562.698373914433,1,-0.037106292338687674,0
2025-07-22 00:00:00+05:30,2624.826434208216,2628.8246465984803,2580.4463742888947,2586.6435546875,387055,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,40.99407947572336,-0.4702126862294307,2583.996231370149,2563.637400611416,1,-0.015418562076895181,0
2025-07-23 00:00:00+05:30,2599.537661577644,2624.7263505348947,2592.340928165788,2613.33154296875,316424,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,50.67874621593082,0.014162875894509597,2586.790070570016,2565.5861905077822,1,-0.031210628793952533,0
2025-07-24 00:00:00+05:30,2614.2310023512105,2623.0271181758203,2593.8402173304657,2607.234130859375,253782,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,51.961159007630364,-0.21446324976149356,2588.7371239309073,2567.21944307059,1,-0.06812606638062235,0
2025-07-25 00:00:00+05:30,2603.835816608761,2615.830453767804,2542.963130639229,2548.96044921875,424612,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,45.22761712620488,-4.207278883963877,2584.948869196416,2566.503404096008,1,-0.0781146227849091,0
2025-07-28 00:00:00+05:30,2547.8608707233648,2583.844782589211,2511.4772352271734,2521.1728515625,428409,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,37.89475308033599,-8.394965685840154,2578.874962755091,2564.725735369204,1,-0.06291879205835271,0
2025-07-29 00:00:00+05:30,2527.869774605656,2556.256984861298,2506.37938308568,2546.76123046875,424781,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,44.194475730932254,-9.059804545224159,2575.816512061154,2564.0212449809505,1,-0.08622787405955823,0
2025-07-30 00:00:00+05:30,2546.7611180128606,2551.4592125722,2523.871450784683,2531.767822265625,262063,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,42.37231677369877,-10.050924331254151,2571.621398747294,2562.756404874467,1,-0.09183142607497063,0
2025-07-31 00:00:00+05:30,2508.778077348053,2518.87366066411,2421.517292185964,2429.613525390625,1457616,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,33.80564074229271,-16.734090745728942,2558.0968393799917,2557.535115482944,1,-0.07442288486074289,0
2025-08-01 00:00:00+05:30,2423.9163500803693,2443.8073598354285,2331.957461747423,2349.849365234375,976341,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,24.53575452745629,-25.16755249107244,2538.263746604219,2549.39057625751,0,-0.07350371424032642,0
2025-08-04 00:00:00+05:30,2358.945212557066,2373.6385936764377,2337.154907126297,2362.543701171875,576426,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,23.828612907655796,-28.298122276826675,2521.5285041820907,2542.0632478227794,0,-0.03393135398971103,0
2025-08-05 00:00:00+05:30,2368.9407912308197,2368.9407912308197,2314.9649251015094,2327.159423828125,576742,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,20.388715264159586,-30.94460010961992,2503.017163195999,2533.6356468818126,0,-0.017180678437837882,0
2025-08-06 00:00:00+05:30,2332.856809344485,2346.8505523057943,2294.973845654689,2299.27197265625,631582,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,17.927346109037302,-32.59996680818992,2483.6128593350704,2524.4449145592416,0,-0.008781439607348562,0
2025-08-07 00:00:00+05:30,2288.976664701431,2293.974430344884,2201.815680685918,2248.794677734375,1529410,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,16.899204681235148,-34.914676326619855,2461.249222992147,2513.6351013504236,0,0.014134524972850615,1
2025-08-08 00:00:00+05:30,2245.99582009658,2259.88951060117,2163.832603922048,2177.126708984375,2552736,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,11.37553720901802,-38.79406994168382,2434.189935943788,2500.438693806657,0,0.07139245468830935,1
2025-08-11 00:00:00+05:30,2195.018553362488,2300.9711793444662,2182.024363383566,2282.37939453125,2376286,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,26.403055814742558,-32.071730640904406,2419.731789142594,2491.887348737033,0,0.045984083650367547,1
2025-08-12 00:00:00+05:30,2279.081012786804,2313.6654019869634,2265.9867701854805,2287.17724609375,1075526,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,23.81636126588252,-25.39452153495747,2407.107546947466,2483.859501574551,0,0.043221817285951536,1
2025-08-13 00:00:00+05:30,2297.972510115865,2313.865306331378,2244.396367900298,2279.0810546875,833679,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,23.740173432877697,-19.860617943781662,2394.914547684612,2475.828974245647,0,0.04258575897717831,1
2025-08-14 00:00:00+05:30,2286.977364133116,2302.9702128333474,2266.686388538396,2280.580322265625,998109,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,26.376867280150137,-14.675786329021946,2384.025573835185,2468.1721643640776,0,0.018977852766495884,1
2025-08-18 00:00:00+05:30,2308.567855358492,2358.9452321961794,2298.972048326785,2332.55712890625,988629,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,34.07592242038888,-6.726736003322131,2379.1238171752866,2462.8539276794572,0,-0.013155743564526978,0
2025-08-19 00:00:00+05:30,2338.8541943212863,2394.529497055675,2313.0659196409943,2387.33251953125,1069432,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,37.172254258956166,2.7321013892341313,2379.9055983520448,2459.892303830508,0,-0.04873552361841482,0
2025-08-20 00:00:00+05:30,2378.936278798334,2404.9246583146187,2371.0399072502205,2386.033203125,780025,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,38.00986722512113,9.056612366047474,2380.489179758993,2456.9958685087236,0,-0.046877008044045376,0
2025-08-21 00:00:00+05:30,2386.0331727421258,2395.928650280872,2370.339994701148,2376.137451171875,441867,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,44.81286943013034,12.515800665994625,2380.074729417363,2453.8249501817886,0,-0.05573779991675454,0
2025-08-22 00:00:00+05:30,2368.840728090787,2375.238014171495,2319.962680474945,2323.86083984375,584211,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,47.33713867171377,11.264550378585191,2374.7210256484477,2448.7283184038265,0,-0.017506057130226127,0
2025-08-25 00:00:00+05:30,2334.655994090531,2347.350268932297,2298.9719992562027,2301.87060546875,542455,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,43.899468148564914,9.033612682392025,2367.782890393238,2442.9691924063723,0,-0.012462477973608,0
2025-08-26 00:00:00+05:30,2302.9703180017605,2308.267998181939,2248.3946217073417,2270.984619140625,1071550,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,44.30020084997091,5.717279800391971,2358.5640074167986,2436.2246993371273,0,0.007350284397265927,1
2025-08-28 00:00:00+05:30,2270.8845315177978,2326.8595036694337,2253.992182177498,2274.18310546875,907868,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,47.320079945923844,4.056650473408318,2350.527731040794,2429.8701270285637,0,0.0015823848149458808,1
2025-08-29 00:00:00+05:30,2281.979709582827,2288.6766664945285,2238.998926616528,2243.69677734375,795699,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,49.43116344931631,1.361904900247076,2340.353354498219,2422.5692113546493,0,0.016349621802919767,1
2025-09-01 00:00:00+05:30,2257.9905092761574,2286.977549899889,2251.093690326569,2283.17919921875,425639,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,62.74934975208106,2.6223964224324163,2334.908196852555,2417.1029363689277,0,0.01168895910158163,1
2025-09-02 00:00:00+05:30,2289.9761345072952,2300.971218522826,2262.98820101463,2273.18359375,481894,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,48.56609674982945,3.1323277945612986,2329.0296632237405,2411.4590405799504,0,0.016445350425734917,1
2025-09-03 00:00:00+05:30,2283.9787044983127,2291.975128846665,2262.0885904572983,2287.677001953125,443629,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,50.075639946464506,4.70078359334191,2325.091314531301,2406.6048429867415,0,0.022501887607953908,1
2025-09-04 00:00:00+05:30,2308.867694435034,2316.2645340706063,2273.983387552878,2277.78173828125,392697,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,49.804408705686924,5.283338851641076,2320.585640602725,2401.552956527703,0,0.05265925485600209,1
2025-09-05 00:00:00+05:30,2273.9833287923934,2292.4750613562,2246.9953947803515,2280.38037109375,443010,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,49.96999984615306,6.002701729627788,2316.756567316156,2396.8010904322537,0,0.048478989957430274,1
2025-09-08 00:00:00+05:30,2288.9766250845446,2332.8569090619844,2284.978412638982,2309.8671875,542811,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,46.349285160982156,8.472362472265274,2316.1004359050935,2393.3919177682437,0,0.03137302858321811,1
2025-09-09 00:00:00+05:30,2318.9630424170555,2323.9608075946785,2295.97332259999,2310.56689453125,369431,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,35.046700526926514,10.053176014278286,2315.5734319647277,2390.143877641303,0,0.037982342080298936,1
2025-09-10 00:00:00+05:30,2328.9586601956157,2344.851456444431,2324.0609477502976,2339.154052734375,390490,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,41.7458266381579,12.750807254662696,2317.8192053713606,2388.1442766645605,0,0.026408034505162492,1
2025-09-11 00:00:00+05:30,2346.95068100964,2417.61903643987,2339.154118015996,2397.72802734375,2111888,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,53.2452329734899,17.891650804205867,2325.429569368731,2388.5201100245285,0,0.0013339654421391511,1
2025-09-12 00:00:00+05:30,2415.819681666717,2420.5177762516864,2386.0331958449106,2390.930908203125,533971,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,61.677717293813494,20.08175180691154,2331.6677921148635,2388.6146511295715,0,0.05518401291174646,1
2025-09-15 00:00:00+05:30,2390.930970910245,2401.726192996577,2377.03728069022,2382.334716796875,298129,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,64.69518660306709,20.146992869589624,2336.4932135131503,2388.3683791949557,0,0.10325594998915255,1
2025-09-16 00:00:00+05:30,2408.922997307066,2414.7204541566816,2386.9328288669185,2398.32763671875,752979,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,74.5946063190018,20.400293411170754,2342.382206199398,2388.758938313536,0,0.11544553649139067,1
2025-09-17 00:00:00+05:30,2415.9198099687437,2415.9198099687437,2389.931429720838,2400.926513671875,514354,0.0,0.0,ADANIENT.NS,39.343662,0.13664,Energy,74.53562749247826,19.856914631284138,2347.95785453011,2389.2360981315105,0,0.09067442734255327,1
